timestamp,message
2024-11-11T08:52:32.299000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.299000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.300000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.300000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.301000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.301000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.303000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.303000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.304000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.304000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.306000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.306000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.307000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.307000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.309000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.309000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.310000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.310000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.311000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.311000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.313000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.313000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.314000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
2024-11-11T08:52:32.314000,"  main_df = main_df.append(forecast_line_df, ignore_index=True)"
2024-11-11T08:52:32.315000,/src/vf_dfm/forecast_export.py:411: FutureWarning: The frame.append method is deprecated and will be removed from pandas in a future version. Use pandas.concat instead.
